Nome;Carica;Amministrazione;Descrizione;Anno
Massimo Salvarani;Sindaco;;Competenza e funzioni relative ai seguenti uffici e servizi: attività produttive, sport, rapporti con le società, personale, sicurezza, polizia;2019-2024
Pier Claudio Ghizzi;Vicesindaco - Assessore;Giunta;Assessorato Ai Lavori Pubblici - Tutela E Sviluppo Del Territorio;
Davide Bollani;Assessore;Giunta;Assessorato Alle Politiche Scolastiche, giovanili, sviluppo di comunità, processi partecipativi;
Barbara Della Casa;Assessore;Giunta;Assessorato Ai Servizi Sociali E Alla Famiglia ;
Vanessa Ciribanti;Assessore;Giunta; Assessorato Alla Cultura – Pari Opportunita’ ;
Alberto Rosario Massara;Assessore;Giunta;Assessorato Alla Programmazione E Bilancio;
Roberto Mari;Presidente Consiglio maggioranza;Consiglio;Partito Democratico;
Angelo Andreetti;Consigliere Capogruppo maggioranza;Consiglio;Partito Democratico;
Guido Bonora;Consigliere Capogruppo maggioranza;Consiglio;Porto Futura;
Valentina Tomirotti;Consigliere maggioranza;Consiglio;Partito Democratico;
Andrea Licon;Consigliere maggioranza;Consiglio;Partito Democratico;
Vittorio Rescigno;Consigliere maggioranza;Consiglio;Partito Democratico;
Moreno Dorini;Consigliere maggioranza;Consiglio;Partito Democratico;
Alessandro Mancini;Consigliere maggioranza;Consiglio;Partito Democratico;
Pasqualino Scirpoli;Consigliere maggioranza;Consiglio;Partito Democratico;
Mara Vanella;Consigliere maggioranza;Consiglio;Porto Futura;
Renata Facchini;Consigliere Capogruppo Vice Presidente Consiglio opposizione;Consiglio;Movimento Cinque Stelle;
Gianfranco Bettoni;Consigliere Capogruppo opposizione;Consiglio;Vivere Porto;
Monica Buoli;Consigliere Capogruppo opposizione;Consiglio;Lega Salvini Premier;
Andrea Bindini;Consigliere opposizione;Consiglio;Lega Salvini Premier;
Mario Uppi;Consigliere opposizione;Consiglio;Lega Salvini Premier;
Marco Bastianini;Consigliere opposizione;Consiglio;Lega Salvini Premier;
