Nome;Carica;Descrizione;Anno
Massimo Salvarani;Sindaco;Competenza e funzioni relative ai seguenti uffici e servizi: attività produttive, sport, rapporti con le società, personale, sicurezza, polizia;2019-2024
Pier Claudio Ghizzi;Vicesindaco - Assessore;Assessorato Ai Lavori Pubblici - Tutela E Sviluppo Del Territorio;
Davide Bollani;Assessore;Assessorato Alle Politiche Scolastiche, giovanili, sviluppo di comunità, processi partecipativi;
Barbara Della Casa;Assessore;Assessorato Ai Servizi Sociali E Alla Famiglia ;
Vanessa Ciribanti;Assessore; Assessorato Alla Cultura – Pari Opportunita’ ;
Alberto Rosario Massara;Assessore;Assessorato Alla Programmazione E Bilancio;
Roberto Mari;Presidente Consiglio maggioranza;Partito Democratico;
Angelo Andreetti;Consigliere Capogruppo maggioranza;Partito Democratico;
Guido Bonora;Consigliere Capogruppo maggioranza;Porto Futura;
Valentina Tomirotti;Consigliere maggioranza;Partito Democratico;
Andrea Licon;Consigliere maggioranza;Partito Democratico;
Vittorio Rescigno;Consigliere maggioranza;Partito Democratico;
Moreno Dorini;Consigliere maggioranza;Partito Democratico;
Alessandro Mancini;Consigliere maggioranza;Partito Democratico;
Pasqualino Scirpoli;Consigliere maggioranza;Partito Democratico;
Mara Vanella;Consigliere maggioranza;Porto Futura;
Renata Facchini;Consigliere Capogruppo Vice Presidente Consiglio opposizione;Movimento Cinque Stelle;
Gianfranco Bettoni;Consigliere Capogruppo opposizione;Vivere Porto;
Monica Buoli;Consigliere Capogruppo opposizione;Lega Salvini Premier;
Andrea Bindini;Consigliere opposizione;Lega Salvini Premier;
Mario Uppi;Consigliere opposizione;Lega Salvini Premier;
Marco Bastianini;Consigliere opposizione;Lega Salvini Premier;
